,main,main_16_TEXT,clicked
1,"Concerns about known side effects (e.g., headache, fatigue)",,0
2,Concerns about unknown risks,,0
3,"I am pregnant, breastfeeding or planning to become pregnant",,0
4,Concerns about unknown risks,,0
5,"I am pregnant, breastfeeding or planning to become pregnant",Pregnant ,0
6,Concerns about unknown risks,,0
7,"I am pregnant, breastfeeding or planning to become pregnant",,0
8,Concerns about unknown risks,,0
9,Concerns about unknown risks,,0
10,"I am pregnant, breastfeeding or planning to become pregnant",,0
11,"I am pregnant, breastfeeding or planning to become pregnant",,0
12,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
13,Concerns about unknown risks,,0
14,"I am pregnant, breastfeeding or planning to become pregnant",,0
15,"I am pregnant, breastfeeding or planning to become pregnant",,0
16,I've had COVID so I don't think I need a vaccine,,0
17,I don't trust the FDA approval process,,0
18,I work out of state; I plan to receive a vaccine when one is available to me in my state,Moving out of area ,0
19,"I am pregnant, breastfeeding or planning to become pregnant",,0
20,Concerns about unknown risks,,0
21,Concerns about unknown risks,,0
22,Concerns about unknown risks,,0
23,It depends on which vaccine I'm offered,,0
24,Concerns about unknown risks,,0
25,Concerns about unknown risks,,0
26,"I am pregnant, breastfeeding or planning to become pregnant",,0
27,Religious reasons,Religious beliefs,0
28,Multiple reasons,"Concerns with combo of side effects and risks associated with new ""vaccine"" - created very fast for my comfort level.",0
29,Concerns about unknown risks,,0
30,"I am pregnant, breastfeeding or planning to become pregnant",,0
31,Concerns about unknown risks,,0
32,Concerns about unknown risks,,0
33,"I am pregnant, breastfeeding or planning to become pregnant",,0
34,Concerns about unknown risks,,0
35,I've had COVID so I don't think I need a vaccine,,0
36,I don't trust the FDA approval process,I don’t feel there is enough research ,0
37,"Concerns about known side effects (e.g., headache, fatigue)",,0
38,Other,n/a,0
39,Concerns about unknown risks,,0
40,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
41,I've had COVID so I don't think I need a vaccine,Have had covid,0
42,Privacy concerns about Geisinger or state government tracking,,0
43,Concerns about unknown risks,,0
44,Concerns about unknown risks,,0
45,I've had COVID so I don't think I need a vaccine,,0
46,Concerns about unknown risks,there has not been enough time or research to know if there will be long term effects from receiving the vaccine and how effective it will even be long term. I already have problems with my liver and do want anything injected into my body that no one knows if it could effect my liver further no or years down the road,0
47,"Concerns about known side effects (e.g., headache, fatigue)",,0
48,Concerns about unknown risks,,0
49,Concerns about unknown risks,,0
50,Concerns about unknown risks,,0
51,Concerns about unknown risks,,0
52,Other,Personal prefernce,0
53,Concerns about unknown risks,,0
54,"I am pregnant, breastfeeding or planning to become pregnant",,0
55,Concerns about unknown risks,,0
56,I've had COVID so I don't think I need a vaccine,,0
57,I've had COVID so I don't think I need a vaccine,"I had covid, can't get vaccinated yet",0
58,Concerns about unknown risks,,0
59,Concerns about unknown risks,,0
60,Concerns about unknown risks,,0
61,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
62,"I am pregnant, breastfeeding or planning to become pregnant",,0
63,Concerns about unknown risks,,0
64,Concerns about unknown risks,No long term studies done for potential side effects ,0
65,Concerns about unknown risks,,0
66,"I am pregnant, breastfeeding or planning to become pregnant",,0
67,I've had COVID so I don't think I need a vaccine,,0
68,Concerns about unknown risks,,0
69,Concerns about unknown risks,,0
70,"I am pregnant, breastfeeding or planning to become pregnant",,0
71,"I am pregnant, breastfeeding or planning to become pregnant",,0
72,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
73,I have allergies that could react to the vaccine,,0
74,Concerns about unknown risks,Almost all of the above. It is all unknown outcome. If it works then no need to wear a mask,0
75,"I am pregnant, breastfeeding or planning to become pregnant",,0
76,Concerns about unknown risks,,0
77,"I am pregnant, breastfeeding or planning to become pregnant",,0
78,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
79,Concerns about unknown risks,,0
80,"I am pregnant, breastfeeding or planning to become pregnant",,0
81,I've had COVID so I don't think I need a vaccine,,0
82,"Concerns about known side effects (e.g., headache, fatigue)",,0
83,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
84,Concerns about unknown risks,,0
85,Other,waiting for spouse to be eligible. We will get it together,0
86,"Concerns about known side effects (e.g., headache, fatigue)",,0
87,"I am pregnant, breastfeeding or planning to become pregnant",,0
88,Concerns about unknown risks,,0
89,I have allergies that could react to the vaccine,"I'm allergic to the Flu vaccine and do not want to take the chance of an allergic reaction to this too, plus I do not think they know enough about this vaccine yet!!!",0
90,Concerns about unknown risks,,0
91,Multiple reasons,"multiple choices above, but I can't choose multiple.",0
92,Concerns about unknown risks,,0
93,Concerns about unknown risks,,0
94,"I am pregnant, breastfeeding or planning to become pregnant",I'm 18 weeks pregnant ,0
95,Concerns about unknown risks,,0
96,"I am pregnant, breastfeeding or planning to become pregnant",,0
97,I have a preexisting medical condition that would prevent me from getting the vaccine,I have more questions. I had a urticaria and angioedema  with my covid infection. I have a history of anaphylaxis-bee venom allergy. ,0
98,Already vaccinated,Already received the vaccine ,0
99,Concerns about unknown risks,,0
100,I have a preexisting medical condition that would prevent me from getting the vaccine,"It has not been proven safe for the medical diagnoses that I have, and in fact is expected to make it ""flare up"" , I am having issues with my health right now, and do not need any ""flare ups"" ",0
101,I work out of state; I plan to receive a vaccine when one is available to me in my state,,0
102,I don't feel I need to be vaccinated; I'm not at high risk for serious complications from COVID if I am infected,,0
103,Concerns about unknown risks,,0
104,"Concerns about known side effects (e.g., headache, fatigue)",,0
105,I have a preexisting medical condition that would prevent me from getting the vaccine,2009 hospital for 5 days out of work 9 weeks GB syndtome,0
106,Concerns about unknown risks,,0
107,Concerns about unknown risks,,0
108,Concerns about unknown risks,,0
109,I have allergies that could react to the vaccine,,0
110,I don't trust the FDA approval process,,0
111,I don't feel I need to be vaccinated; I'm not at high risk for infection,,0
112,I have a preexisting medical condition that would prevent me from getting the vaccine,,0
113,Concerns about unknown risks,,0
114,"I am pregnant, breastfeeding or planning to become pregnant",,0
115,Concerns about unknown risks,,0
116,I don't feel I need to be vaccinated; I'm not at high risk for infection,,0
117,I have allergies that could react to the vaccine,,0
118,Concerns about unknown risks,,0
119,I work out of state; I plan to receive a vaccine when one is available to me in my state,,0
120,"I am pregnant, breastfeeding or planning to become pregnant",,0
121,Privacy concerns about Geisinger or state government tracking,Privacy,0
122,Concerns about unknown risks,,0
123,"I am pregnant, breastfeeding or planning to become pregnant",Pregnancy ,0
124,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,I plan to get it in the future. Just not at this time. ,0
125,Other,moons haunted,0
126,Other,do not wish to provide reason,0
127,Concerns about unknown risks,,0
128,Concerns about the vaccine’s efficacy,,0
129,Concerns about unknown risks,,0
130,Multiple reasons,"Several, some of which are personal and do not need to be disclosed here.",0
131,I don't feel I need to be vaccinated; I'm not at high risk for serious complications from COVID if I am infected,,0
132,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
133,I have allergies that could react to the vaccine,,0
134,Concerns about unknown risks,,0
135,Concerns about unknown risks,,0
136,I've had COVID so I don't think I need a vaccine,,0
137,I've had COVID so I don't think I need a vaccine,,0
138,Concerns about unknown risks,,0
139,Other,It's my choice. I don't think employers should be pushing it. I also feel it's unethical for employers to force employees to get the flu vaccine. No employer should be legally allowed to force you to have some substance injected into your body. ,0
140,Multiple reasons,Concerns about unknown risks; I want to see how others make out with vaccine; concerns about ingredients,0
141,I've had COVID so I don't think I need a vaccine,"I've had Covid, wasn't that bad, not worried about getting it again.  I moved out of PA",0
142,I don't trust the FDA approval process,,0
143,Multiple reasons,"I am not at high risk, I have moral concerns as a Catholic in the role of aborted fetal cell use in certain lines vaccines, and concerns over potential side effects regardless of frequency because there is no legal protections for me against life altering side effects.",0
144,"I am pregnant, breastfeeding or planning to become pregnant",,0
145,"I am pregnant, breastfeeding or planning to become pregnant",,0
146,Concerns about unknown risks,,0
147,Concerns about unknown risks,Because I said NO.  There is no long term trials to base anything on!,0
148,I don't feel I need to be vaccinated; I'm not at high risk for serious complications from COVID if I am infected,,0
149,"I am pregnant, breastfeeding or planning to become pregnant",,0
150,I have allergies that could react to the vaccine,,0
151,Multiple reasons,"concerns about side effects, husband has lung issues, i also have some issues & do not want Pfiser's vaccine",0
152,I have a preexisting medical condition that would prevent me from getting the vaccine,"I'm a surviving recipient of the RECALLED Military Mandated Anthrax Vaccine for Presidential Support.  I can’t even donate blood for the rest of my life.  It doesn’t like anything else in my body not even the flu shot.  I deal with major reactions with that every year.  I’m not ready to risk this one.  As one of the few remaining still alive out of the many that have received this, I’d prefer to stay that way.  VA recommendation, not at this time.  Not enough data to do a blood study first.",0
153,Concerns about unknown risks,,0
154,Concerns about unknown risks,,0
155,Concerns about unknown risks,,0
156,"I am pregnant, breastfeeding or planning to become pregnant",,0
157,"I am pregnant, breastfeeding or planning to become pregnant",,0
158,"I am pregnant, breastfeeding or planning to become pregnant",,0
159,I don't trust the FDA approval process,,0
160,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
161,Concerns about the vaccine’s efficacy,,0
162,Concerns about unknown risks,,0
163,"I am pregnant, breastfeeding or planning to become pregnant",,0
164,I have allergies that could react to the vaccine,,0
165,Concerns about unknown risks,,0
166,"Concerns about known side effects (e.g., headache, fatigue)",,0
167,Concerns about unknown risks,,0
168,"I am pregnant, breastfeeding or planning to become pregnant",,0
169,I've had COVID so I don't think I need a vaccine,,0
170,"I am pregnant, breastfeeding or planning to become pregnant",,0
171,Concerns about unknown risks,,0
172,"Concerns about known side effects (e.g., headache, fatigue)",,0
173,I've had COVID so I don't think I need a vaccine,,0
174,I don't feel I need to be vaccinated; I'm not at high risk for infection,,0
175,I don't feel I need to be vaccinated; I'm not at high risk for serious complications from COVID if I am infected,,0
176,Concerns about unknown risks,,0
177,Concerns about unknown risks,,0
178,Concerns about unknown risks,,0
179,Concerns about unknown risks,,0
180,I don't feel I need to be vaccinated; I'm not at high risk for serious complications from COVID if I am infected,,0
181,Concerns about unknown risks,,0
182,"I am pregnant, breastfeeding or planning to become pregnant",,0
183,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
184,"I am pregnant, breastfeeding or planning to become pregnant",,0
185,Other,my choice,0
186,"I am pregnant, breastfeeding or planning to become pregnant",,0
187,Already vaccinated,I work @ Evan and have received the vaccine.,0
188,"I am pregnant, breastfeeding or planning to become pregnant",,0
189,Concerns about unknown risks,,0
190,I have a preexisting medical condition that would prevent me from getting the vaccine,,0
191,Concerns about unknown risks,,0
192,Concerns about unknown risks,long term effects from vaccine,0
193,Concerns about unknown risks,,0
194,Concerns about unknown risks,,0
195,Multiple reasons,"2,8,9,13 & 14",0
196,I've had COVID so I don't think I need a vaccine,,0
197,"I am pregnant, breastfeeding or planning to become pregnant",,0
198,Concerns about unknown risks,,0
199,I have a preexisting medical condition that would prevent me from getting the vaccine,,0
200,Concerns about unknown risks,,0
201,Concerns about unknown risks,,0
202,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
203,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
204,Concerns about unknown risks,,0
205,"Concerns about known side effects (e.g., headache, fatigue)",,0
206,Concerns about unknown risks,,0
207,Concerns about unknown risks,,0
208,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
209,Concerns about unknown risks,,0
210,Concerns about unknown risks,,0
211,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
212,Concerns about unknown risks,,0
213,Concerns about unknown risks,,0
214,Concerns about unknown risks,,0
215,I have a preexisting medical condition that would prevent me from getting the vaccine,"I have APS blood clotting issue, have to wait to see my hematoligist. to see if i can get this vaccine. My appointment is approaching soon. If the Dr tells me I can get ill let you know. Thanks for reaching out to me. Have a great weekend. ",0
216,Concerns about unknown risks,,0
217,"I am pregnant, breastfeeding or planning to become pregnant",,0
218,"I am pregnant, breastfeeding or planning to become pregnant",,0
219,Concerns about unknown risks,,0
220,Other,No thanks. Give it to someone who needs and actually wants it.,0
221,Concerns about unknown risks,,0
222,Other,N a,0
223,Concerns about unknown risks,,0
224,Concerns about unknown risks,,0
225,I've had COVID so I don't think I need a vaccine,,0
226,Other,I feel I take very good care of myself and know all the precautions,0
227,I don't feel I need to be vaccinated; I'm not at high risk for infection,,0
228,Multiple reasons,multiple reasons,0
229,Multiple reasons,Concerns about all of the above! I've had covid.  I understand the risks and will take my chances.  ,0
230,Concerns about unknown risks,,0
231,"I am pregnant, breastfeeding or planning to become pregnant",,0
232,"I am pregnant, breastfeeding or planning to become pregnant",,0
233,Concerns about unknown risks,,0
234,Concerns about unknown risks,,0
235,Concerns about unknown risks,,0
236,"I am pregnant, breastfeeding or planning to become pregnant",,0
237,Concerns about unknown risks,,0
238,Concerns about unknown risks,,0
239,Concerns about unknown risks,,0
240,I've had COVID so I don't think I need a vaccine,,0
241,"I am pregnant, breastfeeding or planning to become pregnant",,0
242,Multiple reasons,"concerns of side effects, unknown risk,government tracking,ingredients and all of the unknown",0
243,Religious reasons,Religious exemption ,0
244,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
245,Already vaccinated,i received the vaccine elsewhere,0
246,I don't feel I need to be vaccinated; I'm not at high risk for serious complications from COVID if I am infected,,0
247,"I am pregnant, breastfeeding or planning to become pregnant",,0
248,Concerns about unknown risks,,0
249,I have allergies that could react to the vaccine,,0
250,Multiple reasons,"option 2,3,4,13,14",0
251,"I am pregnant, breastfeeding or planning to become pregnant",,0
252,Concerns about unknown risks,,0
253,Concerns about unknown risks,,0
254,Multiple reasons,I should be able to pick more than 1 from above. I have numerous other concerns. Will I now need to get 3 injections a year. Will they hit a nerve again and I will lose ability to use my arm again. If I do will the nerves possibily not heal this time. I need my arm to work and make a living.,0
255,"I am pregnant, breastfeeding or planning to become pregnant",,0
256,Concerns about unknown risks,,0
257,Concerns about unknown risks,,0
258,"Concerns about known side effects (e.g., headache, fatigue)",,0
259,Concerns about unknown risks,,0
260,Concerns about unknown risks,,0
261,Concerns about unknown risks,,0
262,"I am pregnant, breastfeeding or planning to become pregnant",,0
263,"I am pregnant, breastfeeding or planning to become pregnant",,0
264,Already vaccinated,religious reasons,0
265,Other,!,0
266,Other,my choice,0
267,"Concerns about known side effects (e.g., headache, fatigue)",,0
268,Concerns about unknown risks,,0
269,Concerns about unknown risks,,0
270,Already vaccinated,Against religious beliefs ,0
271,I've had COVID so I don't think I need a vaccine,,0
272,Multiple reasons,You should be able to select more than one option as I would select many of them,0
273,Other,I need more research. This is my own opinion. I am thankful for it. It just hasnt had enough time in the general public for me to make my own decision. ,0
274,"Concerns about known side effects (e.g., headache, fatigue)",,0
275,"I am pregnant, breastfeeding or planning to become pregnant",,0
276,Concerns about unknown risks,,0
277,"I am pregnant, breastfeeding or planning to become pregnant",,0
278,Concerns about unknown risks,,0
279,I have a preexisting medical condition that would prevent me from getting the vaccine,,0
280,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
281,"I am pregnant, breastfeeding or planning to become pregnant",As per my OB Dr Burns I am to not get the vaccine due to being pregnant ,0
282,Religious reasons,i have religious exemption ,0
283,I have allergies that could react to the vaccine,,0
284,Already vaccinated,I already rec'd the vaccine,0
285,"I am pregnant, breastfeeding or planning to become pregnant",,0
286,"Concerns about known side effects (e.g., headache, fatigue)",,0
287,Concerns about unknown risks,,0
288,Concerns about unknown risks,,0
289,"Concerns about known side effects (e.g., headache, fatigue)",,0
290,Other,I have the virus now.  I plan on getting it in the future when I am cleared,0
291,Concerns about unknown risks,,0
292,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
293,"I am pregnant, breastfeeding or planning to become pregnant",,0
294,Religious reasons,"Most of the options above are valid reasons for me, but most importantly it is against my religion for such a vaccine. ",0
295,Concerns about unknown risks,,0
296,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
297,Concerns about unknown risks,,0
298,Concerns about unknown risks,,0
299,"I am pregnant, breastfeeding or planning to become pregnant",,0
300,"Concerns about known side effects (e.g., headache, fatigue)",,0
301,Concerns about unknown risks,,0
302,Concerns about unknown risks,,0
303,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,"I had covid within the last few weeks.  I will get the vaccine, but will wait a few months until which vaccine is most effective and has the least side effects is known.  Studies seem to indicate some level of immunity following infection lasting several months for the vast majority of people.  I will get the vaccine, but not at the time being",0
304,Privacy concerns about Geisinger or state government tracking,,0
305,I don't trust the FDA approval process,,0
306,Concerns about unknown risks,,0
307,"I am pregnant, breastfeeding or planning to become pregnant",,0
308,Concerns about unknown risks,,0
309,I don't feel I need to be vaccinated; I'm not at high risk for serious complications from COVID if I am infected,,0
310,"Concerns about known side effects (e.g., headache, fatigue)",,0
311,Concerns about unknown risks,,0
312,"Concerns about known side effects (e.g., headache, fatigue)",,0
313,Concerns about unknown risks,,0
314,Concerns about the vaccine’s efficacy,,0
315,Multiple reasons,"ALL OF THE ABOVE, Especially including headaches ",0
316,Other,Not until testing done to prove i havent already been exposed,0
317,Other,Does the vaccine contain MRC-5? Is there a possiblitly of a latrogenic reaction?,0
318,Already vaccinated,rec'd #1 dose maderna vaccine 12/28- VA hospital,0
319,Religious reasons,Religious,0
320,I have a preexisting medical condition that would prevent me from getting the vaccine,,0
321,"I am pregnant, breastfeeding or planning to become pregnant",,0
322,I have a preexisting medical condition that would prevent me from getting the vaccine,I had Guillain Barre at 19 and am afraid of what would happen if I got the vaccine now.,0
323,"I am pregnant, breastfeeding or planning to become pregnant",,0
324,Concerns about unknown risks,,0
325,Religious reasons,Seasonal vaccines are against my religion.  I also agree with many of the options listed above.,0
326,Religious reasons,It’s against my religion ,0
327,"I am pregnant, breastfeeding or planning to become pregnant",,0
328,Concerns about unknown risks,,0
329,I don't feel I need to be vaccinated; I'm not at high risk for infection,,0
330,Concerns about unknown risks,,0
331,"I am pregnant, breastfeeding or planning to become pregnant",,0
332,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
333,Concerns about unknown risks,,0
334,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
335,Concerns about unknown risks,,0
336,I have allergies that could react to the vaccine,,0
337,Concerns about unknown risks,,0
338,"I am pregnant, breastfeeding or planning to become pregnant",,0
339,I don't trust the FDA approval process,,0
340,Concerns about unknown risks,,0
341,"I am pregnant, breastfeeding or planning to become pregnant",,0
342,Other,I am a convalescent plasma donor. Taking the vaccine would make me ineligible for this type of donation. I would gladly take the vaccine otherwise. Can my husband sign up in my place?,0
343,Concerns about unknown risks,,0
344,I don't feel I need to be vaccinated; I'm not at high risk for serious complications from COVID if I am infected,there is a 99% recovery rate from Covid so my body's own immune system is more than optimal to handle this virus,0
345,Concerns about unknown risks,,0
346,"I am pregnant, breastfeeding or planning to become pregnant",,0
347,Concerns about unknown risks,,0
348,Concerns about unknown risks,,0
349,I don't feel I need to be vaccinated; I'm not at high risk for serious complications from COVID if I am infected,,0
350,Concerns about unknown risks,,0
351,Concerns about unknown risks,,0
352,I've had COVID so I don't think I need a vaccine,,0
353,Other,PERSONAL CHOICE,0
354,Concerns about unknown risks,,0
355,Other,Prefer ,0
356,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
357,Concerns about unknown risks,,0
358,Concerns about unknown risks,,0
359,I've had COVID so I don't think I need a vaccine,tested and have the antibodies.,0
360,"I am pregnant, breastfeeding or planning to become pregnant",,0
361,Concerns about unknown risks,,0
362,Concerns about unknown risks,,0
363,Already vaccinated,"I have already received COVID-19 vaccine, thanks ",0
364,I have a preexisting medical condition that would prevent me from getting the vaccine,,0
365,Concerns about unknown risks,,0
366,Concerns about unknown risks,,0
367,"I am pregnant, breastfeeding or planning to become pregnant",,0
368,Concerns about unknown risks,,0
369,Concerns about unknown risks,,0
370,Other,Already had it,0
371,Concerns about unknown risks,,0
372,Privacy concerns about Geisinger or state government tracking,,0
373,I've had COVID so I don't think I need a vaccine,,0
374,"I am pregnant, breastfeeding or planning to become pregnant",I am pregnant and don't feel safe with it.,0
375,Concerns about unknown risks,,0
376,I don't feel I need to be vaccinated; I'm not at high risk for infection,,0
377,Concerns about the vaccine’s efficacy,,0
378,Religious reasons,Religious ,0
379,Concerns about unknown risks,,0
380,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
381,Concerns about unknown risks,,0
382,Concerns about unknown risks,,0
383,Concerns about unknown risks,,0
384,Concerns about unknown risks,,0
385,Concerns about unknown risks,,0
386,Religious reasons,Religious exemption,0
387,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
388,Other,it's my damn choice and none of your damn business,0
389,Concerns about unknown risks,,0
390,Concerns about unknown risks,,0
391,"I am pregnant, breastfeeding or planning to become pregnant",,0
392,Concerns about unknown risks,,0
393,I don't trust the FDA approval process,"I dont feel that its been tested long enough for myself to take it,",0
394,I don't trust the FDA approval process,,0
395,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
396,I have a preexisting medical condition that would prevent me from getting the vaccine,,0
397,"Concerns about known side effects (e.g., headache, fatigue)",,0
398,Concerns about unknown risks,,0
399,"Concerns about known side effects (e.g., headache, fatigue)",,0
400,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
401,Concerns about unknown risks,,0
402,I have a preexisting medical condition that would prevent me from getting the vaccine,,0
403,Concerns about unknown risks,No one knows what long term afects the vaccine may have.,0
404,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,concerned about the Dr that died from the vaccine in Florida. I want to wait a bit before I recieve it.  Thank you,0
405,Already vaccinated,I live in GA and was able to get vaccine from my husband's healthcare employer.,0
406,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
407,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
408,Concerns about unknown risks,,0
409,It depends on when it's offered to me; I'd like to wait to take it until I see how it goes with others,,0
410,Other,no comment,0
411,Other,Personal Reasons,0
412,Concerns about unknown risks,,0
413,Concerns about unknown risks,concerns with long term effects of drug.,0
414,Concerns about unknown risks,,0
415,"I am pregnant, breastfeeding or planning to become pregnant",,0
416,Concerns about unknown risks,,0
417,Concerns about unknown risks,,0
